año,mes,tavg_mean,tmin_mean,tmax_mean,prcp_sum,wspd_mean,pres_mean,dias_lluvia,dias_registro
2009,11,27.323939269573625,22.468264911993405,31.97301501644883,0.0,6.208666666666667,1010.9373333333334,0,30
2009,12,27.7710783225386,22.464938663700458,32.34361657496249,0.0,6.147096774193548,1010.5896774193548,0,31
2010,1,30.230645161290322,23.024193548387096,35.946774193548386,6.8999999999999995,6.186486486486486,1010.9416216216217,4,31
2010,2,30.833928571428572,24.21607142857143,37.857142857142854,24.0,6.405029585798816,1010.6857988165679,7,28
2010,3,29.530645161290323,23.85483870967742,36.230645161290326,84.80000000000001,6.063763292475038,1010.9570570570571,7,31
2010,4,28.46333333333333,23.01833333333333,34.94166666666667,226.9,5.988205759101919,1010.745,14,30
2010,5,28.41290322580645,23.230645161290322,33.479032258064514,272.5,7.040860215053763,1011.6268817204301,12,31
2010,6,27.236666666666668,22.016666666666666,33.615,14.0,8.018666666666666,1012.2233333333334,10,30
2010,7,27.330645161290324,21.906451612903226,32.98774193548387,71.3,11.233548387096775,1012.4174193548388,13,31
2010,8,29.12741935483871,22.738709677419354,34.744516129032256,4.8,10.692959770114943,1011.8156989247311,4,31
2010,9,28.121666666666666,22.086666666666666,34.98166666666667,63.9,9.334751619755142,1011.0869500372856,7,30
2010,10,27.686559139784944,22.173655913978493,33.55,124.9,7.007096774193548,1010.9167741935485,10,31
2010,11,26.23611111111111,21.860555555555557,31.173333333333336,276.59999999999997,6.208666666666667,1010.9373333333334,17,30
2010,12,26.247849462365593,21.9,31.70483870967742,147.7,6.147096774193548,1010.5896774193548,11,31
2011,1,28.259677419354837,22.288709677419355,33.58870967741935,22.8,6.186486486486486,1010.9416216216217,4,31
2011,2,27.03392857142857,22.275000000000002,32.285714285714285,113.9,6.405029585798816,1010.6857988165679,11,28
2011,3,26.551612903225806,21.740322580645163,32.78064516129032,179.6,6.063763292475038,1010.9570570570571,13,31
2011,4,26.545,21.76833333333333,33.18666666666666,298.6,5.988205759101919,1010.745,18,30
2011,5,26.99516129032258,22.348387096774193,33.0010752688172,195.0,7.040860215053763,1011.6268817204301,9,31
2011,6,27.64333333333333,21.811666666666667,33.25958346066029,23.8,8.018666666666666,1012.2233333333334,7,30
2011,7,27.888709677419353,22.041935483870965,33.58145161290323,51.4,11.233548387096775,1012.4174193548388,7,31
2011,8,29.39032258064516,22.490322580645163,35.69740909328405,0.0,10.692959770114943,1011.8156989247311,0,31
2011,9,29.334999999999997,22.084999999999997,35.8,62.99999999999999,9.334751619755142,1011.0869500372856,5,30
2011,10,27.73763440860215,22.551075268817204,33.30806451612903,62.5,7.007096774193548,1010.9167741935485,11,31
2011,11,26.61777777777778,22.052222222222223,32.175,296.8,6.208666666666667,1010.9373333333334,14,30
2011,12,26.929032258064513,22.137096774193548,31.633485839335705,236.10000000000002,6.147096774193548,1010.5896774193548,13,31
2012,1,27.443548387096776,22.243548387096773,32.89677419354839,95.3,6.186486486486486,1010.9416216216217,11,31
2012,2,28.29137931034483,22.344827586206897,33.04597701149425,23.7,6.405029585798816,1010.685798816568,9,29
2012,3,28.05806451612903,22.529032258064515,33.723118279569896,71.7,6.063763292475038,1010.9570570570571,7,31
2012,4,27.259999999999998,21.861666666666668,32.42666666666666,200.9,5.988205759101919,1010.745,14,30
2012,5,28.596774193548388,22.675806451612903,33.93387096774194,19.099999999999998,7.040860215053763,1011.6268817204301,6,31
2012,6,29.503333333333334,23.105,34.90333333333333,8.6,8.018666666666666,1012.2233333333334,6,30
2012,7,29.093548387096774,23.133870967741935,34.64354838709678,33.300000000000004,11.233548387096775,1012.4174193548388,5,31
2012,8,29.625806451612902,23.47258064516129,35.38225806451613,6.3,10.692959770114943,1011.8156989247311,4,31
2012,9,30.103333333333335,23.453333333333333,35.65,11.2,9.334751619755142,1011.0869500372856,3,30
2012,10,28.343548387096774,22.66290322580645,33.65053763440861,113.5,7.007096774193548,1010.9167741935485,8,31
2012,11,27.1,22.56833333333333,32.50611111111111,224.2,6.208666666666667,1010.9373333333334,16,30
2012,12,27.203225806451613,22.183870967741935,31.97741935483871,144.6,6.147096774193548,1010.5896774193548,17,31
2013,1,28.79032258064516,22.403225806451612,34.020967741935486,48.0,6.186486486486486,1010.9416216216217,3,31
2013,2,27.414285714285715,22.480357142857144,32.40714285714286,108.6,6.405029585798816,1010.6857988165679,13,28
2013,3,28.10483870967742,22.690322580645162,34.09193548387096,27.5,5.020536595712366,1010.9570570570571,7,31
2013,4,29.375,22.908333333333335,34.105,97.1,5.988205759101919,1010.745,3,30
2013,5,27.59032258064516,22.574193548387097,32.92863497356325,133.8,7.040860215053763,1011.6268817204301,14,31
2013,6,28.938333333333333,22.85666666666667,34.10583333333333,5.5,8.018666666666666,1012.2233333333334,4,30
2013,7,28.488709677419354,22.693548387096776,34.16516129032258,9.0,11.233548387096775,1012.4174193548388,8,31
2013,8,29.070967741935487,23.424999999999997,34.13354838709678,12.4,10.692959770114943,1011.8156989247311,3,31
2013,9,29.766666666666666,23.2975,35.791333333333334,1.0,9.334751619755142,1011.0869500372856,1,30
2013,10,29.34032258064516,23.18548387096774,34.980645161290326,22.6,7.007096774193548,1010.9167741935485,4,31
2013,11,26.9,22.37,30.669179779970953,144.2,6.208666666666667,1010.9373333333334,14,30
2013,12,27.280645161290323,22.44677419354839,32.19919354838709,75.6,6.147096774193548,1010.5896774193548,10,31
2014,1,28.54032258064516,22.653225806451612,34.17822580645161,40.4,6.186486486486486,1010.9416216216217,5,31
2014,2,28.86785714285714,22.985714285714288,33.94732142857143,22.200000000000003,6.405029585798816,1010.6857988165679,5,28
2014,3,28.0417075513919,22.562319324780187,32.76340829116828,34.3,6.063763292475038,1010.9570570570571,8,31
2014,4,29.438333333333333,23.126666666666665,34.33833333333334,7.5,5.988205759101919,1010.745,5,30
2014,5,28.35,22.740322580645163,33.71048387096774,63.6,7.040860215053763,1011.6268817204301,8,31
2014,6,28.86,22.94333333333333,34.20916666666666,23.299999999999997,8.018666666666666,1012.2233333333334,9,30
2014,7,30.2241935483871,23.85,35.082258064516125,2.0,11.233548387096775,1012.4174193548388,1,31
2014,8,29.5,23.411290322580644,34.861427669275685,0.8,10.692959770114943,1011.8156989247311,1,31
2014,9,30.526666666666667,23.618333333333332,36.33416666666667,29.3,9.334751619755142,1011.0869500372856,4,30
2014,10,29.448387096774194,23.146774193548385,34.541788648959084,198.9,7.007096774193548,1010.9167741935485,9,31
2014,11,27.933888888888887,22.550555555555555,33.00555555555555,77.5,6.208666666666667,1010.9373333333334,13,30
2014,12,28.19462365591398,22.431720430107525,32.76359336621743,158.29999999999998,6.147096774193548,1010.5896774193548,11,31
2015,1,28.59336917562724,22.541756272401436,34.049677419354836,11.200000000000001,6.186486486486486,1010.9416216216217,3,31
2015,2,29.1200941812169,23.44173784785429,33.80781468183696,91.2,6.405029585798816,1010.6857988165679,7,28
2015,3,28.63225806451613,23.508064516129032,33.61532258064516,69.0,6.063763292475038,1010.9570570570571,9,31
2015,4,29.206666666666667,23.779999999999998,34.21583333333333,0.6,5.988205759101919,1010.745,2,30
2015,5,29.703225806451613,23.843548387096774,35.50483870967742,10.399999999999999,7.040860215053763,1011.6268817204301,6,31
2015,6,29.473333333333336,23.81833333333333,34.05365753473436,2.6,8.018666666666666,1012.2233333333334,5,30
2015,7,30.30322580645161,23.988709677419354,35.529803931720565,8.399999999999999,11.233548387096775,1012.4174193548388,4,31
2015,8,30.700000000000003,24.93548387096774,35.584926686217,4.5,13.358565072302557,1011.8156989247311,4,31
2015,9,31.84611111111111,25.47111111111111,37.33988570236863,1.0,10.16267638519752,1011.0869500372856,1,30
2015,10,31.06021505376344,24.54247311827957,36.5381636623889,18.5,7.007096774193548,1010.9167741935485,6,31
2015,11,29.40666666666667,23.384999999999998,31.97301501644883,75.9,6.208666666666667,1010.9373333333334,5,30
2015,12,30.93548387096774,24.15967741935484,32.34361657496249,0.5,6.147096774193548,1010.5896774193548,1,31
2016,1,31.153225806451612,24.511290322580646,33.344124915739656,13.9,6.186486486486486,1010.9416216216217,2,31
2016,2,31.28965517241379,25.074137931034482,35.0172743757284,1.1,6.405029585798816,1010.685798816568,3,29
2016,3,29.67096774193548,24.483870967741936,33.38465357954197,46.1,6.063763292475038,1010.9570570570571,9,31
2016,4,29.118333333333332,23.58,33.49637877780098,21.7,5.988205759101919,1010.745,7,30
2016,5,28.82903225806452,23.708064516129035,33.1863081413789,12.2,7.040860215053763,1011.6268817204301,3,31
2016,6,28.96833333333333,23.123333333333335,33.9772290491801,18.0,8.018666666666666,1012.2233333333334,6,30
2016,7,29.27258064516129,22.969354838709677,33.71591778000037,9.0,11.233548387096775,1012.4174193548388,5,31
2016,8,30.57177419354839,23.958870967741937,35.293604051753874,6.699999999999999,10.692959770114943,1011.8156989247311,4,31
2016,9,30.1545,23.266833333333334,35.578077802907075,67.6,9.334751619755142,1011.0869500372856,6,30
